course_code,course_title,course_units,requisite,section,component,class_num,avail_status,Avail.,availability,open_seat,avail_seat,waitlist,day,time,start_time,end_time,location,instructor,Begin/End Dates
216,Software Development Fundamentals,3,Prerequisite: CSC 116 with a grade of C or better; Corequisite: CSC 217,1,Lec,1920,O,Open68/85,68/85,68,85,,M/W,10:15AM-11:30AM,10:15 AM,11:30 AM,2201 Engineering Building 3,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals,3,Prerequisite: CSC 116 with a grade of C or better; Corequisite: CSC 217,2,Lec,1921,O,Open332/350,332/350,332,350,,T/Th,11:45AM-1:00PM,11:45 AM,1:00 PM,1103 James B Hunt Jr Centenni,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals,3,Prerequisite: CSC 116 with a grade of C or better; Corequisite: CSC 217,601,Lec,10072,O,Open40/40,40/40,40,40,,,TBD,TBD,TBD,Distance Education - Online,"Heckman,Sarah SmithTetterton,James C",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,200,Lab,11775,O,Open24/25,24/25,24,25,,M,8:30AM-10:20AM,8:30 AM,10:20 AM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,201,Lab,11859,O,Open25/25,25/25,25,25,,M,10:40AM-12:30PM,10:40 AM,12:30 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,202,Lab,9883,O,Open24/25,24/25,24,25,,M,12:50PM-2:40PM,12:50 PM,2:40 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,203,Lab,9884,O,Open16/25,16/25,16,25,,M,3:00PM-4:50PM,3:00 PM,4:50 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,204,Lab,9885,O,Open25/25,25/25,25,25,,M,5:20PM-7:10PM,5:20 PM,7:10 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,210,Lab,9886,O,Open23/25,23/25,23,25,,T,8:30AM-10:20AM,8:30 AM,10:20 AM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,211,Lab,11860,O,Open25/25,25/25,25,25,,T,10:40AM-12:30PM,10:40 AM,12:30 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,212,Lab,9887,O,Open25/25,25/25,25,25,,T,12:50PM-2:40PM,12:50 PM,2:40 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,213,Lab,9888,O,Open13/25,13/25,13,25,,T,3:00PM-4:50PM,3:00 PM,4:50 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,214,Lab,9889,O,Open25/25,25/25,25,25,,T,5:20PM-7:10PM,5:20 PM,7:10 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,220,Lab,9890,O,Open25/25,25/25,25,25,,M,8:30AM-10:20AM,8:30 AM,10:20 AM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,221,Lab,11861,O,Open25/25,25/25,25,25,,W,10:40AM-12:30PM,10:40 AM,12:30 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
